identifiant;fournisseur;zone_disponibilite;nom;code_region;ville;zone_disponibilite_em
us-east-1;AWS;Amérique du Nord;US East (N. Virginia);US-VA;Ashburn;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east-2;AWS;Amérique du Nord;US East (Ohio);US-OH;Columbus;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west-1;AWS;Amérique du Nord;US West (N. California);US-CA;Palo Alto;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west-2;AWS;Amérique du Nord;US West (Oregon);US-OR;Hillsboro;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
ca-central-1;AWS;Amérique du Nord;Canada (Central);CA-QC;Montréal;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
sa-east-1;AWS;Amérique du Sud;South America (São Paulo);BR-SP;São Paulo;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY')
eu-central-1;AWS;Europe;Europe (Frankfurt);DE-HE;Francfort;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
eu-central-2;AWS;Europe;Europe (Zurich);CH-ZH;Zurich;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
eu-west-1;AWS;Europe;Europe (Ireland);IE-D;Dublin;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
eu-west-2;AWS;Europe;Europe (London);GB-ENG;Londres;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
